globalshop.kt.com,200,99999
tbonm.fido.kt.com,503,200
global.olleh.com,200,99999
shop2.olleh.com,200,99999
netflix.g.api.kt.com,403,99999
int.api.kt.com,99999,403
dev-iotmakers.cloud.kt.com,503,404
tb.ktsmap.com,404,200
mam-test.kt.com,200,99999
gdev.mkate.kt.com,200,99999
tb.ktmssp.com,99999,200
cugenc.kt.com,99999,500
dev.adat.co.kr,200,99999
saas.chargingmate.com,200,99999
appapi.chargingmate.com,403,99999
saasapi.chargingmate.com,403,99999
engineer.chargingmate.com,200,99999
chargingmate.com,200,99999
www.chargingmate.com,200,99999
clean.internet.qook.kr,404,200
cleani.internet.qook.co.kr,200,99999
clean.megapass.net,404,200
clean.internet.qook.co.kr,200,404
cleani.internet.olleh.com,200,99999
admin.locationguard.kt.com,200,99999
admin.locationguard.olleh.com,200,99999
auth.ktimms.co.kr,502,99999
test-gwec3.vsaastb.co.kr,403,99999
test.insuretech.kt.com,99999,503
test-dnd2.vsaastb.co.kr,200,404
stream.ontactedu.co.kr,404,99999
hyehwa1.m-notice.kt.com,200,99999
cubot.kt.co.kr,99999,200
api.aidu.kt.com,200,503
cleani.internet.kt.com,200,99999
test-gwec3.ktvsaas.co.kr,403,99999
lab.aidu.kt.com,200,503
mbaroad.kt.co.kr,99999,200
dev.bizcollabo.cloud.kt.com,200,99999
iotbiz.kt.co.kr,99999,200
adminbaroad.kt.co.kr,200,99999
pta.mein.megatvdnp.co.kr,503,200
safe2gopass.com,99999,200
iotdev.kt.co.kr,99999,200
test-ses3.ktvsaas.co.kr,403,99999
dev.bizsmrc.kt.co.kr,200,503
collabo.cloud.kt.com,99999,503
