dmas.kt.co.kr,99999
aicodingblock.kt.co.kr,99999
gitlab.dspace.kt.co.kr,99999
genieblock.kt.co.kr,99999
test.myoffice.kt.com,99999
jenkins.dspace.kt.co.kr,99999
jira.dspace.kt.co.kr,99999
nqi.kt.com,99999
mentorad.ontactedu.co.kr,200
ktvdi.kt.com,99999
leaflet.clipwallet.co.kr,99999
ktgcloud.kt.com,99999
vpnpms.kt.co.kr,99999
gcloud.kt.com,99999
cms.bdp.kt.co.kr,99999
adm.healthcare.kt.co.kr,99999
imsivdi.kt.com,99999
kttalk.net,99999
jalnagageadm.kt.co.kr,99999
gsm.kt.co.kr,99999
aibigdata.kt.co.kr,99999
atv.ktcems.com,99999
admin.gov.kt-aicc.com,99999
dev.app.ktlocaldx.com,99999
dev.bo.ktlocaldx.com,99999
agw.ktcems.com,99999
